256		# total colors
16		# column width
# palette data r,g,b,a
0,0,0,255
68,34,17,255
102,68,51,255
119,85,51,255
136,102,68,255
170,136,102,255
85,51,0,255
0,0,0,255
0,0,0,255
0,51,34,255
0,68,51,255
0,85,68,255
0,119,102,255
0,170,153,255
0,153,204,255
0,0,0,255
0,0,0,255
68,34,0,255
85,51,0,255
119,85,51,255
136,102,68,255
153,119,85,255
102,68,34,255
0,0,0,255
0,0,0,255
68,34,17,255
0,68,51,255
119,85,51,255
136,102,68,255
170,136,102,255
0,119,102,255
0,170,153,255
0,0,0,255
0,0,0,255
0,0,0,255
170,0,51,255
204,0,68,255
204,0,68,255
255,85,0,255
255,119,0,255
0,0,0,255
68,34,17,255
0,51,34,255
0,68,51,255
0,0,0,255
0,0,0,255
85,51,0,255
0,0,0,255
0,0,0,255
51,51,34,255
68,68,51,255
102,102,85,255
119,119,102,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
68,34,17,255
102,68,51,255
119,85,51,255
136,102,68,255
170,136,102,255
68,34,17,255
102,68,51,255
0,102,187,255
0,0,0,255
204,170,136,255
170,136,102,255
119,85,0,255
85,68,0,255
136,136,170,255
102,102,136,255
68,68,102,255
153,153,0,255
136,68,0,255
102,0,0,255
170,170,204,255
204,0,0,255
204,119,0,255
0,0,0,255
204,85,0,255
0,0,0,255
0,85,0,255
0,119,0,255
0,153,0,255
102,187,102,255
187,187,187,255
136,136,136,255
102,68,0,255
136,102,68,255
153,119,85,255
187,153,102,255
85,0,0,255
136,0,0,255
170,0,0,255
0,0,0,255
170,119,238,255
0,0,0,255
102,0,0,255
136,0,0,255
170,0,0,255
170,85,0,255
187,153,102,255
153,119,85,255
85,85,85,255
119,119,119,255
153,153,153,255
187,187,187,255
85,0,136,255
102,51,153,255
136,85,204,255
0,0,0,255
187,187,187,255
0,0,0,255
51,51,136,255
68,85,170,255
85,119,187,255
102,153,204,255
170,153,119,255
136,119,85,255
102,0,0,255
136,0,0,255
170,0,0,255
187,85,0,255
85,85,85,255
119,119,119,255
153,153,153,255
0,0,0,255
204,204,170,255
238,204,0,255
102,85,0,255
0,0,0,255
238,0,0,255
0,0,136,255
0,102,187,255
0,0,0,255
238,204,0,255
204,204,170,255
102,85,0,255
0,0,0,255
238,85,51,255
255,68,68,255
68,68,68,255
0,0,0,255
0,0,0,255
238,238,221,255
85,85,68,255
0,0,0,255
255,0,102,255
255,136,136,255
68,68,68,255
0,0,0,255
153,153,0,255
170,170,204,255
204,0,0,255
0,0,0,255
204,0,0,255
204,204,204,255
0,85,170,255
0,0,0,255
255,0,102,255
255,0,102,255
68,68,68,255
0,0,0,255
102,102,255,255
153,153,255,255
68,68,68,255
0,0,0,255
119,255,136,255
153,255,204,255
68,68,68,255
0,0,0,255
85,255,255,255
136,255,255,255
68,68,68,255
0,0,0,255
221,136,170,255
221,170,255,255
68,68,68,255
0,0,0,255
0,0,0,255
170,136,102,255
119,85,0,255
0,0,0,255
17,17,0,255
153,153,0,255
136,68,0,255
0,0,0,255
136,136,170,255
102,102,136,255
170,170,204,255
0,0,0,255
204,204,170,255
238,204,0,255
102,85,0,255
0,0,0,255
238,0,0,255
0,0,136,255
0,102,187,255
0,0,0,255
238,204,0,255
204,204,170,255
102,85,0,255
0,0,0,255
238,85,51,255
255,68,68,255
68,68,68,255
0,0,0,255
0,0,0,255
238,238,221,255
85,85,68,255
0,0,0,255
255,0,102,255
255,136,136,255
68,68,68,255
0,0,0,255
153,153,0,255
170,170,204,255
204,0,0,255
0,0,0,255
204,0,0,255
204,204,204,255
0,85,170,255
0,0,0,255
255,0,102,255
255,0,102,255
68,68,68,255
0,0,0,255
102,102,255,255
153,153,255,255
68,68,68,255
0,0,0,255
119,255,136,255
153,255,204,255
68,68,68,255
0,0,0,255
85,255,255,255
136,255,255,255
68,68,68,255
0,0,0,255
221,136,170,255
221,170,255,255
68,68,68,255
0,0,0,255
0,0,0,255
170,136,102,255
119,85,0,255
0,0,0,255
17,17,0,255
153,153,0,255
136,68,0,255
0,0,0,255
136,136,170,255
102,102,136,255
170,170,204,255
0,0,0,255
